GATP00000001 GATP00000050
GATP00000051 GATP00000100
GATP00000101 GATP00000150
GATP00000151 GATP00000200
GATP00000201 GATP00000250
GATP00000251 GATP00000300
GATP00000301 GATP00000350
GATP00000351 GATP00000400
GATP00000401 GATP00000450
GATP00000451 GATP00000500
GATP00000501 GATP00000550
GATP00000551 GATP00000600
GATP00000601 GATP00000650
GATP00000651 GATP00000700
GATP00000701 GATP00000750
GATP00000751 GATP00000800
GATP00000801 GATP00000850
GATP00000851 GATP00000900
GATP00000901 GATP00000950
GATP00000951 GATP00001000
GATP00001001 GATP00001050
GATP00001051 GATP00001100
GATP00001101 GATP00001150
GATP00001151 GATP00001200
GATP00001201 GATP00001250
GATP00001251 GATP00001300
